t,px,py,pz,vx,vy,vz
3.473167965397874e-05,3.1173864522356604e-05,-1.7889259398774513e-06,0.0004063133562361874,0.011622984570337913,-0.006662749195787385,0.00869313758550164
3.58071965716671e-05,3.1632566392910456e-05,-1.815338063885369e-06,0.0004122320565744723,0.011444771408680483,-0.00656132415540884,0.008539838807629749
3.6882765561270326e-05,3.208456184467263e-05,-1.8413609987090723e-06,0.0004180666185508436,0.01127195082308787,-0.006462936440305273,0.008392064357584052
3.795839685838538e-05,3.253016827451509e-05,-1.8670119997520874e-06,0.0004238206184412115,0.011104360503188367,-0.006367497561503681,0.008249555384907788
3.903409104037475e-05,3.296968129335851e-05,-1.892313232676184e-06,0.0004294978159062906,0.010941834911751819,-0.006274916745356598,0.008112065562778143
4.010985639498389e-05,3.3403359215614745e-05,-1.917273021808576e-06,0.00043510148746086895,0.010784205264121193,-0.006185100947755121,0.007979358927161105
4.118569076147852e-05,3.383144852919139e-05,-1.941909865577412e-06,0.0004406343352078996,0.010631304096956794,-0.006097957535879069,0.007851212081490876
4.2261603911049614e-05,3.425421298109839e-05,-1.9662348823591746e-06,0.00044609924614060387,0.01048296390501362,-0.00601339352862099,0.007727411464074112
4.333755320556235e-05,3.4671820442792935e-05,-1.9902608955025577e-06,0.0004514989417641614,0.010339026913423975,-0.0059313212484287565,0.007607760293108835
4.441356252121045e-05,3.5084472055422846e-05,-2.013998241453078e-06,0.00045683583215090114,0.01019932978959588,-0.005851649550907006,0.007492064599901216
4.54896279521124e-05,3.5492370958988494e-05,-2.0374581366056266e-06,0.00046211188983325224,0.01006371701992291,-0.005774291571076855,0.007380143560228291
4.6565762786059616e-05,3.589568109691291e-05,-2.0606481831805783e-06,0.00046732916908935563,0.009932035417288999,-0.005699161602491103,0.007271824074108608
4.7641942411459546e-05,3.629455803946133e-05,-2.0835817544093383e-06,0.00047248988598287375,0.009804141265818977,-0.005626179159141144,0.007166946018306708
4.871817410331675e-05,3.668915843974588e-05,-2.1062697812447265e-06,0.0004775959098875506,0.00967989192671234,-0.0055552642599933115,0.007065354763770963
4.9794466924235283e-05,3.7079613530356993e-05,-2.128713375306047e-06,0.0004826487178481293,0.009559149861948103,-0.005486339628712792,0.00696690377125001
5.0870804320194024e-05,3.746604228096336e-05,-2.1509246015580806e-06,0.00048764982091680696,0.009441785542270442,-0.005419332466626276,0.006871456674883721
5.1947208881405705e-05,3.7848606534843984e-05,-2.1729063959219467e-06,0.0004926008565339332,0.009327670272269762,-0.005354170391413815,0.006778880979438786
